home_listing_id,name,availability,address.addr1,address.city,address.region,address.country,address.postal_code,image[0].url,price,url,description,num_beds,num_baths,property_type,listing_type,year_built,size,status,mls_num,county
1236895,"19 Pamela  Circle, Warwick",for_sale,19 Pamela  Circle,Warwick,Rhode Island,United States,02886,https://t3.realgeeks.media/thumbnail/_1u-Cut9bCfADvU-AVy-B8cs2_8=/https://property-media.realgeeks.com/405/21030fc910cfb4e206257ad318cc7d1a.jpg,"$319,900",https://www.alltownri.com/search/details/535/48/,"3BR | 2BA | 1,830 sqft",3,2,Single Family Residential,for_sale_by_agent,1989,"1,830",ACTIVE,1236895,Kent
1238468,"7 O'Keefe  Drive, Richmond",for_sale,7 O'Keefe  Drive,Richmond,Rhode Island,United States,02894,https://t3.realgeeks.media/thumbnail/hMYRMHGaQ2dbsmhT_wlukTqD8Tc=/https://property-media.realgeeks.com/405/73e90775aafeab6df858d3d9f3e75082.jpg,"$319,900",https://www.alltownri.com/search/details/535/47/,"3BR | 2BA | 1,884 sqft",3,2,Single Family Residential,for_sale_by_agent,1997,"1,884",ACTIVE UNDER CONTRACT,1238468,Washington
,,for_sale,,,,United States,,,,https://www.alltownri.com/member/contact/5da492cd0a660c00018006f1/,,,,,for_sale_by_agent,,,,,
,,for_sale,,,,United States,,,,https://www.alltownri.com/member/contact/5da6d37ff6316b0001b3cb6a/,,,,,for_sale_by_agent,,,,,
1238820,"201 Armington  Street, Cranston",for_sale,201 Armington  Street,Cranston,Rhode Island,United States,02905,https://t3.realgeeks.media/thumbnail/1muBvhcK_7QS2XDP-f4R1apFWmA=/https://property-media.realgeeks.com/405/095830a39656d47f09f00a1f2a2fb88f.jpg,"$319,900",https://www.alltownri.com/search/details/535/46/,"3BR | 2BA | 1,525 sqft",3,2,Single Family Residential,for_sale_by_agent,1920,"1,525",ACTIVE,1238820,Providence
,,for_sale,,,,United States,,,,https://www.alltownri.com/member/contact/5da6d639f6316b0001b3cc49/,,,,,for_sale_by_agent,,,,,
1238995,"20 Saint Claire  Avenue, Warwick",for_sale,20 Saint Claire  Avenue,Warwick,Rhode Island,United States,02889,https://t3.realgeeks.media/thumbnail/w9KsrP9Po-HMWbQYPY66Kc3_3F8=/https://property-media.realgeeks.com/405/5fb320f0c030659e2cd4af4f77c631b8.jpg,"$319,900",https://www.alltownri.com/search/details/535/45/,"3BR | 3BA | 1,800 sqft",3,3,Single Family Residential,for_sale_by_agent,2019,"1,800",ACTIVE,1238995,Kent
1238860,"3 Matteo  Drive, North Providence",for_sale,3 Matteo  Drive,North Providence,Rhode Island,United States,02904,https://t3.realgeeks.media/thumbnail/MC1ElatnFQDVXtLjIl0kXsKiFEc=/https://property-media.realgeeks.com/405/a2963e7c47a8909c0632d6598e608f75.jpg,"$319,900",https://www.alltownri.com/search/details/535/44/,"3BR | 2BA | 1,960 sqft",3,2,Single Family Residential,for_sale_by_agent,1997,"1,960",ACTIVE,1238860,Providence
,,for_sale,,,,United States,,,,https://www.alltownri.com/member/contact/5dad9ad129184c00017af96c/,,,,,for_sale_by_agent,,,,,
,,for_sale,,,,United States,,,,https://www.alltownri.com/member/contact/5daf20a529184c00017b01b0/,,,,,for_sale_by_agent,,,,,
1239341,"50 Haley  Road, Warwick",for_sale,50 Haley  Road,Warwick,Rhode Island,United States,02889,https://t3.realgeeks.media/thumbnail/Lnh6RxR9qm8kgIwDQ0fzPHIKXZo=/https://property-media.realgeeks.com/405/0bc01ebbb2427e763b6731b525ea0849.jpg,"$319,900",https://www.alltownri.com/search/details/535/43/,"5BR | 2BA | 1,800 sqft",5,2,Single Family Residential,for_sale_by_agent,1965,"1,800",ACTIVE,1239341,Kent
,,for_sale,,,,United States,,,,https://www.alltownri.com/member/contact/5db9a12a2f27c300016b0c1a/,,,,,for_sale_by_agent,,,,,
,,for_sale,,,,United States,,,,https://www.alltownri.com/member/contact/5dbdad0489a8870001622bd7/,,,,,for_sale_by_agent,,,,,
1239516,"59 Darling  Street, Warwick",for_sale,59 Darling  Street,Warwick,Rhode Island,United States,02886,https://t3.realgeeks.media/thumbnail/YRnB2Vj0ydea3NiehCx2kvSJwzA=/https://property-media.realgeeks.com/405/2f8dc7096ff27962f7a266b33177b3c1.jpg,"$319,900",https://www.alltownri.com/search/details/535/42/,"3BR | 2BA | 1,689 sqft",3,2,Single Family Residential,for_sale_by_agent,1959,"1,689",ACTIVE,1239516,Kent
,,for_sale,,,,United States,,,,https://www.alltownri.com/member/contact/5dc0601292131f0001540b73/,,,,,for_sale_by_agent,,,,,
1240171,"37 John Mowry  Road, Smithfield",for_sale,37 John Mowry  Road,Smithfield,Rhode Island,United States,02917,https://t3.realgeeks.media/thumbnail/MauRwoOfv9-WxUbUaBd-Six0EWI=/https://property-media.realgeeks.com/405/695a0c8eaa0e07db4d2d9f76b11e0bfd.jpg,"$319,900",https://www.alltownri.com/search/details/535/41/,"3BR | 2BA | 2,188 sqft",3,2,Single Family Residential,for_sale_by_agent,1976,"2,188",ACTIVE UNDER CONTRACT,1240171,Providence
1240498,"21 Gadoury  Drive, Cumberland",for_sale,21 Gadoury  Drive,Cumberland,Rhode Island,United States,02864,https://t3.realgeeks.media/thumbnail/mWPBuOqjl8xn5pjpVdndMcI4IbI=/https://property-media.realgeeks.com/405/e416d51176ee234c9db86efbebf23d6b.jpg,"$319,900",https://www.alltownri.com/search/details/535/39/,"3BR | 2BA | 1,732 sqft",3,2,Single Family Residential,for_sale_by_agent,1953,"1,732",ACTIVE,1240498,Providence
,,for_sale,,,,United States,,,,https://www.alltownri.com/member/contact/5dc5852c7444030001f1aafe/,,,,,for_sale_by_agent,,,,,
1240323,"10 Candlewood  Road, North Smithfield",for_sale,10 Candlewood  Road,North Smithfield,Rhode Island,United States,02896,https://t3.realgeeks.media/thumbnail/rx1bWU8Lvkzq6aiEBqXWrT-kUiA=/https://property-media.realgeeks.com/405/73bbd36343f1dabf3d909fa21d0db1c5.jpg,"$319,900",https://www.alltownri.com/search/details/535/40/,"3BR | 2BA | 1,664 sqft",3,2,Single Family Residential,for_sale_by_agent,1969,"1,664",ACTIVE,1240323,Providence
1240895,"2 Golden  Avenue, Johnston",for_sale,2 Golden  Avenue,Johnston,Rhode Island,United States,02919,https://t3.realgeeks.media/thumbnail/HUfCvjOpllsH7SyxSDoHyTPOyhw=/https://property-media.realgeeks.com/405/8a750d85ad71ddb4ecb06b3e607bc231.jpg,"$319,900",https://www.alltownri.com/search/details/535/38/,"3BR | 2BA | 2,120 sqft",3,2,Single Family Residential,for_sale_by_agent,1967,"2,120",ACTIVE,1240895,Providence
,,for_sale,,,,United States,,http://u.realgeeks.media/alltownri/_rgg/landscape_images/Capehome.jpg,,https://www.alltownri.com,,,,,for_sale_by_agent,,,,,
